Timestamp,SF ID of the candidate whose project is being reviewed,GitHub repo link under review,Is the GitHub link provided proper?,Folder structure is inline with the MiniProject template,"GitHub actions are added and are working for Build (Windows + Linux), Analysis, Unit testing",Clone and build works on Linux and Windows,High level and low level requirements are captured clearly with SWAT analysis,Design of the project is captured clearly with UML diagrams,Test plan captures Integration and unit test plans to test all the requirements,Multi function and Mutifile Approach is followed in the implementation of code,Number of Unit test cases written in total,Code is commented in Doxygen style and can generate document,"Makefile is written to build (Windows +Linux), Test unit test cases, Analyze(Static + Dynamic), Code Coverage ",Code is implemented using best practices [Comments are added for each function],"Code is implemented using best practices [Meaningful names for variables, functions and files]",Code is implemented using best practices [Dynamic memory is freed after use],"Code is implemented using best practices [Typedef used for enums, structures and function pointers]",Code is implemented using best practices [Structures used are passed to functions by pointers],Code is implemented using best practices [Use of function pointers],Code is implemented using best practices [Unit test cases to test all the written code - Code coverage],Overall Concepts/Elements/Components that you like about this project,Any other comments,Overall Concepts/Elements/Components that needs improvement in this project
14-04-2021 19:10,260877,https://github.com/Mallineni-Venkata-Meghana/Mini-Project.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Candidate has not uploaded the project in the repository,N/A,The project needs to be uploaded ASAP and the folder convention needs to be followed
14-04-2021 19:14,260031,https://github.com/shubh-77/LnT_Mini_Project.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,Yes,No,No,3,No,Need improvement,No,Implemented correctly,Implemented correctly,Implemented correctly,No,No,No,Idea is good.,,"multifile approach,pointers,documentation,yml files needed."
14-04-2021 19:16,265055,https://github.com/Lakshman265055/LTTSproject.git,No,Some folders are missing,Yes,Yes,No,No,No,No,0,No,No,No,No,No,No,No,No,No,I am not able to find anything on the repo link except one readme file which contains his name and SF ID,I am not able to find anything on the repo link except one readme file which contains his name and SF ID,I am not able to find anything on the repo link except one readme file which contains his name and SF ID
14-04-2021 19:16,256183,https://github.com/Sankalp256183/MiniProject_C_PBL.git,Yes,Yes,No,No,Yes,Needs improvements,No,No,NIL,No,No,No,No,No,No,No,No,No,NIL,,EVERYTHING.
14-04-2021 19:31,256548,https://github.com/sruthissree/LTTS_MiniProject.git,Yes,Some folders are missing,No,No,Needs improvements,No,Needs improvements,Yes,nil,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Need improvement,No,No,No,simplicity,no, some folders are missing
14-04-2021 19:51,287533, https://github.com/lavanya-k19/QUICK-MEAL-ORDERING.git,Yes,No,No,No,No,No,No,No,not written anything,No,No,No,No,No,No,No,No,No,nothing is there expect readme file,no,needs improvement
14-04-2021 19:53,256274,https://github.com/256274/StepIn_Miniproject.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,No,No,No,Yes,none yet,Yes,No,No,Implemented correctly,Implemented correctly,No,No,No,No,The visualization of the game is pretty well. and the concepts used are pretty straight forward.,"Work still needs to be finished for apt review but overall main code is fine, just its not yet input output based, so please look into that.","Make file is not OS independent
Typedef ENUM can be used to define the player, player move, CPU move etc. which looks more clean .
Please update the SDLC part of the project.
Please update the GitHub actions and the workflows in the project."
14-04-2021 19:58,264828,https://github.com/prat7562/LTTS_Circuit_MiniProject.git,Yes,Yes,Errors are shown,Yes,Yes,Yes,No,Needs improvements,not yet written,No,Yes,No,Need improvement,No,No,No,No,No,concept and documenting is good,needs improvement in multifile,multifile
14-04-2021 20:03,260025,https://github.com/IshaPrabhu-260025/MiniProject-C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,Need improvement,Implemented correctly,good,test case improvements,test case
14-04-2021 20:09,256644,https://github.com/256644/ltts-miniproject.git,Yes,Yes,No,No,Needs improvements,Needs improvements,No,Yes,2,Yes,Need improvement,Implemented correctly,No,No,Implemented correctly,Implemented correctly,No,No,Simple and effective application of concepts ,,Variable names can be more meaningful and test plan folder is missing
14-04-2021 20:17,264793,https://github.com/Archisa264793/mini_project-C.git,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,nothing,,"should add all folders inline and github actions
"
14-04-2021 20:20,264869,https://github.com/swati-tupat/LTTS_Project.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,no,,start  doing project
14-04-2021 20:29,255974,https://github.com/shivani-11318/mr.librarian.git,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,_,"Work done is not up to the level only .gitignore file is added,  I recommend  to add files and workflow",_
14-04-2021 20:35,295558,https://github.com/yashaswini295558/mini-project.git,Yes,No,No,No,No,No,No,No,no file in the repository,No,No,No,No,No,No,No,No,No,no code ,no code,no code
14-04-2021 20:36,256314,https://github.com/smritipillai/MiniProject.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,No,No,No,0,No,No,No,Implemented correctly,No,No,Implemented correctly,Implemented correctly,No,-,Only few files are added and workflow actions are not initiated,_
14-04-2021 20:39,295558,https://github.com/yashaswini295558/mini-project.git,Yes,No,No,No,No,No,No,No,no code,No,No,No,No,No,No,No,No,No,no code,no code,no code
14-04-2021 20:45,258298,https://github.com/harish1543/Step-in-Mini-Project.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,Needs improvements,No,No,0,No,No,No,Implemented correctly,No,No,No,No,No,Liked the idea of Project,,Workflow actions should be initiated
14-04-2021 20:45,260913,"https://github.com/AnnapoornaDevarasetty/MiniProject_C_260913	",Yes,Yes,No,No,No,Yes,No,Yes,no test cases,No,No,No,Need improvement,No,No,No,Implemented correctly,No,nice code with good style,lot of work need to be done in the project there is no make file etc.,Dynamic memory is not used and some of the requirements asked by Bharat sir has not been implemented
14-04-2021 20:47,260014,"https://github.com/260014/Miniproject-Ashutosh.git	",Yes,No,No,No,No,No,No,No,no code,No,No,No,No,No,No,No,No,No,no code,no code,no code
14-04-2021 20:50,256240,https://github.com/Manikanta489/Stepin256240-MiniProject.git,Yes,Yes,Errors are shown,No,No,No,Yes,Yes,11,Need improvement,Need improvement,Need improvement,Implemented correctly,No,No,No,No,Implemented correctly,Implemetation of different Fuctions and pointer Concepts,,"Try to Improve your make file , add unity test in your make file, add readme file first so that one can understand your project ."
14-04-2021 20:56,256282,https://github.com/jagadeesharadhyula7608/Stepin_MiniProject_256282.git,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,No,Yes,Need improvement,Implemented correctly,No,No,No,No,Implemented correctly,Concept of the Project and Unit tests,,Try to Implement UML diagrams first then go for code.  It will help you to understand it better.
14-04-2021 21:04,260009,https://github.com/swapnil99jakhi/MiniProject_LTTS.gi,Yes,Yes,Yes,Yes,Yes,No,No,Needs improvements,0,No,No,Need improvement,Implemented correctly,No,No,No,No,No,Only thing I like about Project is Requirements . Nothing Else.,,Try to Add Unit Test Cases and Firstly Implement UML Diagrams and then Go For Code It will help you to understand the flow in better way. So many things are missing there try to implement it as soon as possible
14-04-2021 21:16,287183,https://github.com/vinaygotham/LTTS-C-PROJECT.git,Yes,No,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project not started yet.,,Project not started yet.
14-04-2021 21:18,255908,https://github.com/dev1729/Snake-Game,Yes,Yes,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project not started yet.,,Project not started yet.
14-04-2021 21:20,280502,https://github.com/Vinay4119/Conversion-Cruncher.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Project not started yet.,,Project not started yet.
14-04-2021 21:23,https://github.com/261833/Prachiproject.git,https://github.com/261833/Prachiproject,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Needs improvements,Yes,No,Needs improvements,0,No,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,No,project idea is good,error in code,code have multiple errors no make file and unit testing
14-04-2021 21:29,https://github.com/291603/Mini_Project_LTTS.git,https://github.com/291603/Mini_Project_LTTS,Yes,Yes,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,"Nothing to say, code is not available",,"No code, nothing is available rather than requirement file."
14-04-2021 21:31,https://github.com/TN-Sneha/256640_C_project.git,https://github.com/TN-Sneha/256640_C_project,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,nothing is available,,nothing is available in repo
14-04-2021 21:37,256040,https://github.com/JeevakRaj/Smart-Delivery-App_MiniProject-C.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Yes,No,Implemented correctly,Implemented correctly,Implemented correctly,No,No,Implemented correctly,Good use of structures and file handling,No comments added for functions or structures,None
14-04-2021 21:41,258071,https://github.com/indiya77/MiniProject.git,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,No,Need improvement,Good implementation of an important electrical engineering topic.,,"Test plan missing, and lack of multi file approach"
14-04-2021 21:42,265054,https://github.com/Shriya-265054/Stepin-MiniProject.git,Yes,Some folders are missing,Yes,Yes,Needs improvements,No,No,Yes,1,No,Yes,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Good implementation of all fundamentals. Lots of different languages used apart from C.,Comments for functions and structures should be added,None
14-04-2021 21:57,258027,https://github.com/258027/Miniproject-_-258027,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Yes,Yes,Needs improvements,0,Yes,No,Implemented correctly,Need improvement,No,Implemented correctly,No,No,No,Good implementation of this program,,Better variable names and proper structure of code required.
14-04-2021 22:00,264046,https://github.com/264046/Miniproject_RouthArray,No,Some folders are missing,Errors are shown,Makefile to build on both OS is missing,No,Needs improvements,Yes,Yes,4,Yes,Need improvement,Implemented correctly,Need improvement,Implemented correctly,No,No,Implemented correctly,Implemented correctly,Very good idea for the project and good implementation of concepts.,Edit the badges in readme to display your badges,Some actions are failing and need to be updated
14-04-2021 22:04,260215,https://github.com/260215/260215/tree/master/mini_project_ltts,Yes,Some folders are missing,No,Yes,No,No,No,Needs improvements,6,Yes,Need improvement,No,Implemented correctly,No,No,No,No,Implemented correctly,Simple approach.,,"Requirement, Uml and test plans missing"
14-04-2021 22:40,258219,https://github.com/rdevgupta/Stepin_mini_project.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,No,Needs improvements,No,Yes,0,Need improvement,No,Need improvement,Implemented correctly,Implemented correctly,Need improvement,No,No,No,"Use of file handling for storing the data and extracting data from it, is very good. ","Should have done requirement analysis first, second design part and then started the implementation of code.","Most things from requirement and design are missing,
Add your Research(Benefits, History and Cost) done for your project,
Perform SWOT analysis, 
Answer 4W's and 1H,
Add detail requirement,
Description can be little short and descriptive,
Don't forget to add high level and low level structural and behavioral diagram in design part(compulsory),
Define or mention the parameters also in documentation (parameter explanation for gotoxy() function is missing). 
"
14-04-2021 22:52,264152,https://github.com/Mithunbharadwaj7/miniproject.git,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,the project was empty,,the projects was empty
14-04-2021 22:58,260904,https://github.com/Lahari-1999/LTTS_C_Miniproject_260904,Yes,Yes,No,Makefile to build on both OS is missing,Needs improvements,Needs improvements,No,Yes,0,No,No,No,Implemented correctly,No,No,No,No,No,multifile approach used in the project,,the code quality should be more improved
14-04-2021 23:01,259990,https://github.com/rmjha99/Miniproject.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,the project was empty,,the project was empty
14-04-2021 23:08,265057,https://github.com/debasish2110/LTTS-C-MiniProject.git,Yes,Some folders are missing,Yes,Yes,No,No,No,Needs improvements,0,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,No,No,No,No,I like the project idea and the way it is implemented.,"Should have followed this pattern:
1. requirement
2. design
3. implementation
4. test plan","Requirement, design and test plan is completely missing, need to do it fast.
Should have included the src files in makefile instead of e_book.c.
File Pointers used in different src files, needs to be closed or freed before program ends.
Add separate header file for each source file and do the documentation in those files. "
14-04-2021 23:23,259756,https://github.com/Devanshmathur14/Ltts-mini-project,No,No,No,Makefile to build on both OS is missing,No,No,No,No,0,No,No,No,No,No,No,No,No,No,NA,No work is done other then creating repository,Need to put in more efforts
14-04-2021 23:26,263988,-,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,NA,No repository provided,Put in more effort
14-04-2021 23:26,263706,https://github.com/shirisha9010/new_project,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Not good,,Must Implement 
14-04-2021 23:29,256869,https://github.com/Sameekshshetty/256869.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,NA,Only repository is created,Need to put more effort
14-04-2021 23:29,259879,https://github.com/Prajwal-M1804/C-Programming_MiniProject.git,Yes,Yes,No,Makefile to build on both OS is missing,Yes,Yes,Yes,No,0,No,No,No,No,No,No,No,No,No,Requirement and design phase are implemented correctly.,May be you can put the structural and behavioral diagrams in respective folder.,"Add name and/or a banner of the project in home Readme file, will help others to know your project.
Implementation phase is missing, hope you are working on it.
Try to make directories according to the template in Implementation folder.
Test plan needs some edge cases for times when things does not go according to the plan."
14-04-2021 23:29,259840,https://github.com/NisargaPriyadarshini/LTTS_Mini_Project,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No submission till now (14 th April 2021/11:28 pm),No submission till now (14 th April 2021/11:28 pm),No submission till now (14 th April 2021/11:28 pm)
14-04-2021 23:34,260162,https://github.com/SantruptiP/LnT-MiniProject,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3,Yes,Yes,No,Need improvement,No,No,Implemented correctly,Implemented correctly,No,Proper formatting,,Need more implementation
14-04-2021 23:34,257256,https://github.com/vivekvalagadri/Stepin_C_Miniproject.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Needs improvements,9,No,Yes,Need improvement,Implemented correctly,Need improvement,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Desiging the game and implementing is good,No,Test plan and output should be updated
14-04-2021 23:39,261406,https://github.com/Khushbu-Majithia-261406/quiz_game.git,Yes,Yes,No,No,Yes,Needs improvements,Needs improvements,Yes,2,No,Need improvement,No,Implemented correctly,Need improvement,No,Implemented correctly,Implemented correctly,Need improvement,Learnt about the concept of quiz game,,Gitwork flows and actions should be updated and unity checking is not done
14-04-2021 23:41,260007,https://github.com/260007/mini-project.git,Yes,Yes,Yes,Yes,No,No,No,Needs improvements,0,No,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,Need improvement,-,,-
14-04-2021 23:45,258092,https://github.com/28-shravya/stepin_project.git,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-,Yes,Yes,Need improvement,Implemented correctly,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Need improvement,-,,-
14-04-2021 23:46,260225,https://github.com/ShyamanandanRay/Mini_project-260225.git,Yes,Yes,Errors are shown,Errors during compilation,Yes,Needs improvements,No,Needs improvements,5,No,Yes,Need improvement,Implemented correctly,No,No,Need improvement,Need improvement,No,Learnt about Movie Booking & Management,,Build should be updated according to gitwork flows 
14-04-2021 23:47,265101,https://github.com/Hanumanth-Reddy/ltts-miniproject,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19,Yes,Yes,Implemented correctly,Implemented correctly,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Overall good implementations,,Need improvement in requirements
14-04-2021 23:48,261628,https://github.com/prathyuyerragudi/prathyu.git,No,Some folders are missing,Errors are shown,Makefile to build on both OS is missing,Needs improvements,Needs improvements,Needs improvements,Needs improvements,-,Need improvement,Need improvement,No,Need improvement,Need improvement,Need improvement,No,Need improvement,No,-,,-
14-04-2021 23:52,263979,https://github.com/nikhil140a/miniproject_c.git,Yes,Yes,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,NA,The Project description is on other topic i.e. on  game but in repo all folders and files of STEPin template is copied. ,The Project description is on other topic i.e. on  game but in repo all folders and files of STEPin template is copied. 
15-04-2021 00:16,263698,https://github.com/sirisatwika/LandT_MiniProject.git,Yes,Some folders are missing,No,Yes,Yes,Needs improvements,Needs improvements,Needs improvements,4,Yes,Need improvement,No,Implemented correctly,No,No,No,No,Need improvement,Simple and easy to use Calculator is built. Major mathematical operations are performed. Test cases are also provided for the mathematical operations.,"More test cases needs to be provided for the other functions. Also the folders in the repository are incomplete such as Test Plan and output, Images and Videos etc. More diagrams are required for the architecture for structural and behavioral diagrams.","It will be great if the calculator can perform scientific functions as well such as trigonometric functions and complex numbers. Other than that, it is a very good project."
15-04-2021 00:20,258153,https://github.com/Madhura-M/Miniproject---L-T.git,Yes,No,No,No,No,No,No,No,Nothing is added in repository till now,No,No,No,No,No,No,No,No,No,Nothing is added in repository till now,Please commit content asap.,"Repository is empty, maybe work is in progress in local machine, if yes then please commit it in repo before deadline."
15-04-2021 00:20,256209,https://github.com/256209/LNT_Mini_Project.git,Yes,Some folders are missing,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Yes,No,Implemented correctly,Implemented correctly,Need improvement,Implemented correctly,Implemented correctly,Need improvement,"Nicely build and well explained the project via SDLC implementation. I just scanned the project in one go didn't gone too deep in it, but in this all I have to say is that you have done good work mate. Keep it up.",,"What I missed is Gantt chart, comments and documentation."
15-04-2021 00:25,258326,https://github.com/Arun10k/Mini-Project-LTTS.git,Yes,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,Nothing,,"Dude, Start your project. It's empty."
15-04-2021 00:35,264822,https://github.com/ayush103,No,No,No,No,No,No,No,No,Unable to find Project Repository ,No,No,No,No,No,No,No,No,No,Unable to find Project Repository ,Please create & commit content in repo asap.,"Can't find the working repo, if it is in local machine please commit it before deadline."
15-04-2021 00:35,260212,https://github.com/joydeep2899/260212_miniproject/,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,Implemented correctly,Implemented correctly,Implemented correctly,Need improvement,No,Implemented correctly,Implemented correctly,"Very detailed and implemented with proper planning. Design flow of the project is excellent. Code Coverage, Multifile Programming, Doxygen documentation is followed.",Need to add photos and videos of the project work. In the repo link there's no .git extension. Please look into that as well.,"One test case provided for the entire source code.,it would be good if test cases can be added for the functions defined as well."
15-04-2021 00:38,256175,https://github.com/archanaarunog/Miniproject_256175.git,Yes,Some folders are missing,No,Yes,Yes,No,No,Yes,0,Yes,Yes,Implemented correctly,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Implemented correctly,No,"The project topic was good. Nicely done, but still lacks some things in it.",,"UML Diagrams need to be added, Unit testing, variable naming,Test plan and some minor things too."
15-04-2021 00:40,258349,https://github.com/Kratos-28/258349_MINI_PROJECT.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,No,No,No,Yes,0,Yes,No,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,Implemented correctly,No,No,Implementation of file handling concept in Implementation folder,No,Ok
15-04-2021 00:41,259881,https://github.com/259881/Ltts-uttam,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8,No,Yes,Need improvement,Need improvement,Implemented correctly,Implemented correctly,Need improvement,Need improvement,Need improvement,code is short and sweet :),,documentation should be done.
15-04-2021 00:44,265153,https://github.com/deepakkumar4321/Mini_Project,Yes,Some folders are missing,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,need to be done,,need to be done
15-04-2021 00:49,260180,https://github.com/Aishwarya-260180/LTTS_Mini_Project.git,Yes,Some folders are missing,No,Makefile to build on both OS is missing,Yes,Needs improvements,No,No,Implementation folder is not added yet,No,No,No,No,No,No,No,No,No,"Idea and concept to be implemented is very good, requirements are perfectly detailed.",Please update the SWOT analysis as per project point of view not personal.,"Hope remaining work is in progress in local machine, please commit the content in repo before deadline and follow workflows."
15-04-2021 00:49,258001,https://github.com/keshavamurthy5/ltts_stepin_miniproject.git,Yes,Yes,Yes,Yes,Yes,No,No,No,0,No,Yes,No,No,No,No,No,No,No,Project has not been implemented yet.,,Project has not been implemented yet.
15-04-2021 00:52,256268,"https://github.com/Arvindan27/Mini-Project-256268-.git	",Yes,Yes,Errors are shown,Yes,No,No,No,Yes,0,No,Yes,No,Need improvement,Need improvement,Need improvement,No,No,Need improvement,good,,needs improvement on Dynamic allocation and use of structures and pointers.
15-04-2021 00:57,262795,https://github.com/262795/Online-Ticket-Reservation,Yes,Some folders are missing,No,Yes,No,No,No,Needs improvements,0,No,No,No,No,No,No,No,No,No,The Project file is still empty,Please Hurry Up,Needs to start project
15-04-2021 00:58,256100,https://github.com/MeghanaMeda/256100_MiniProject_LTTS.git,Yes,Some folders are missing,Yes,Yes,No,No,No,Yes,4,No,Yes,No,Implemented correctly,No,No,No,Need improvement,Need improvement,"Multi file programming approach is followed and test cases are provided for the defined functions
",The Readme file needs to be detailed with project description and necessary diagrams for the Architecture. ,The Design Reqiurements and the architecture diagrams are incomplete. Also the right folder names and structure needs to be followed according to the template.
15-04-2021 00:58,256271,https://github.com/MRK4863/LTTS_project.git,Yes,Some folders are missing,No,No,Yes,No,No,No,0,Need improvement,No,No,Need improvement,Need improvement,No,No,No,No,Project concept is good.,,"Needs improvement in architechure, implementation, testplan."
15-04-2021 01:00,292119,https://github.com/VelampudiRohit-292119/LTTSProject.git,Yes,No,Yes,Yes,Yes,No,No,No,0,No,No,No,Implemented correctly,No,No,No,No,No,"All the requirements,SWOT Analysis and research has been mentioned clearly.",,"1) Multifile concept should be used
2) Proper comments and variable naming should be there for better understanding of the code
3) There are not any design diagrams and test cases and plans.
4) Use of concept like typedef, function pointer should be there to make code more readable
"
15-04-2021 01:00,263701,https://github.com/meghanamudunuri/MiniProject.git,Yes,No,No,Makefile to build on both OS is missing,Yes,Yes,No,No,0,No,Need improvement,No,No,No,No,No,No,No,Not started yet,Thankyou,Please speed up
